Wall time,Step,Value
1729033925.1237905,137,0.0
1729033943.7824435,138,0.0
1729033947.1130133,139,1.0
1729033980.8660936,140,0.0
1729034233.0105743,142,1.0
1729034242.6780114,143,1.0
1729034480.2171953,145,0.0
1729034504.3314648,146,1.0
1729034516.966732,147,0.0
1729034540.056298,148,1.0
1729034722.137743,149,0.0
1729034723.736117,150,0.0
1729034768.3660676,152,0.0
1729034930.9964805,153,0.0
1729034946.6069794,154,0.0
1729034950.7499163,155,0.0
1729034954.938244,156,0.0
1729035120.3885622,157,1.0
1729035143.4762437,158,1.0
1729035153.1555374,159,0.0
1729035185.0015147,160,0.0
1729035332.3519192,161,0.0
1729035352.3330188,162,0.0
1729035362.7679043,163,0.0
1729035610.6503994,167,1.0
1729035620.5510795,168,0.0
1729035813.696884,169,1.0
1729035880.1374664,171,0.0
1729035889.4295592,172,0.0
1729036081.1470075,173,0.0
1729036172.776078,175,0.0
1729036194.2950058,176,0.0
1729036378.3550773,177,0.0
1729036393.7987776,178,1.0
1729036434.755439,179,0.0
1729036477.997943,180,1.0
1729036678.4199085,181,1.0
1729036705.6343033,182,1.0
1729036730.8330922,183,1.0
1729036768.7390106,184,1.0
1729036944.3291907,185,0.0
1729036945.0227382,186,1.0
1729036974.2138944,187,0.0
1729037283.6077743,190,1.0
1729037312.9662318,191,0.0
1729037321.2263105,192,0.0
1729037554.9386039,194,0.0
1729037595.2009234,195,1.0
1729037864.6627896,197,1.0
1729037913.5352843,199,1.0
1729037931.616863,200,0.0
1729038168.518181,201,1.0
1729038189.621838,202,0.0
1729038209.6474442,203,1.0
1729038442.4477673,205,1.0
1729038462.4421556,206,1.0
1729038518.3792436,208,0.0
1729038729.662271,209,0.0
1729038758.77665,210,1.0
1729038760.5699127,211,1.0
1729038778.8800611,212,1.0
1729038960.8571405,213,0.0
1729038978.657978,214,1.0
1729038986.8583968,215,1.0
1729039018.6420114,216,0.0
1729039193.1934283,217,1.0
1729039212.829747,218,0.0
1729039228.4997332,219,0.0
1729039240.3546028,220,1.0
1729039418.366129,221,1.0
1729039422.2284362,222,1.0
1729039437.8934667,223,1.0
1729039440.1008942,224,1.0
1729039590.7636082,225,0.0
1729039600.3635607,226,1.0
1729039617.8700428,227,0.0
1729039622.4527106,228,1.0
1729039769.9134858,229,0.0
1729039783.7321293,230,1.0
1729039790.0120778,231,1.0
1729039976.7143812,233,1.0
1729039992.867233,234,1.0
1729040000.350802,235,1.0
1729040005.9294426,236,1.0
1729040162.9986508,237,1.0
1729040174.7464302,238,0.0
1729040191.3148375,239,1.0
1729040210.5446599,240,0.0
1729040355.9556422,241,1.0
1729040381.912994,242,1.0
1729040391.0624819,243,1.0
1729040408.8199525,244,0.0
1729040562.703492,245,1.0
1729040575.2276924,246,0.0
1729040582.5935686,247,1.0
1729040616.9510963,248,0.0
1729040756.1992521,249,1.0
1729040760.1962998,250,1.0
1729040773.294565,251,1.0
1729040779.1002645,252,1.0
1729040904.9553347,253,1.0
1729040923.4727623,254,0.0
1729040932.1569853,255,0.0
1729040956.6008573,256,0.0
1729041104.8020692,257,0.0
1729041112.8461158,258,1.0
1729041132.4461772,259,1.0
1729041146.9786034,260,0.0
1729041273.179802,261,1.0
1729041310.2884781,262,0.0
1729041337.0486965,263,0.0
1729041386.7056227,264,0.0
1729041525.2528327,265,0.0
1729041578.2305331,267,0.0
1729041594.3934977,268,1.0
1729041744.7645833,269,1.0
1729041752.4928465,270,1.0
1729041754.0893476,271,1.0
1729041760.3047388,272,1.0
1729041958.9028764,275,0.0
1729041981.064544,276,0.0
1729042107.1317976,277,1.0
1729042115.5392191,278,1.0
1729042172.2894666,280,0.0
1729042311.812907,281,1.0
1729042336.3310843,282,0.0
1729042345.630835,283,1.0
1729042517.073588,285,1.0
1729042530.1079936,286,1.0
1729042532.5464036,287,1.0
1729042544.6031568,288,0.0
1729042674.7808075,289,1.0
1729042683.241957,290,1.0
1729042690.1897237,291,1.0
1729042696.3660097,292,1.0
1729042799.9626834,293,1.0
1729042824.2294133,294,1.0
1729042838.8481858,295,1.0
1729042844.680261,296,1.0
1729042961.880775,297,1.0
1729042970.212947,298,1.0
1729042980.71923,299,1.0
1729042989.361556,300,1.0
1729043092.4796803,301,1.0
1729043122.9567122,302,0.0
1729043135.273365,303,0.0
1729043144.1737874,304,1.0
1729043252.756083,305,0.0
1729043260.0646157,306,0.0
1729043307.7128806,307,0.0
1729043323.1261742,308,0.0
1729043435.1814306,309,0.0
1729043452.7391913,310,0.0
1729043465.5609589,311,0.0
1729043482.439104,312,0.0
1729043602.7827609,313,0.0
1729043613.0349503,314,0.0
1729043626.4713147,315,0.0
1729043799.3325982,317,0.0
1729043802.9981332,318,1.0
1729043845.9756136,319,0.0
1729043861.315448,320,0.0
1729043983.342019,321,0.0
1729043992.9336517,322,0.0
1729043995.7531796,323,1.0
1729044007.8869355,324,0.0
1729044134.6056006,325,1.0
1729044150.999411,326,0.0
1729044173.3165576,327,0.0
1729044177.4287412,328,0.0
1729044294.3179233,329,1.0
1729044327.1201735,330,0.0
1729044361.2243423,332,1.0
1729044519.2923348,334,1.0
1729044541.274363,335,1.0
1729044549.7970908,336,0.0
1729044693.894184,337,1.0
1729044775.1674204,339,0.0
1729044807.7745514,340,0.0
1729044952.7525504,341,1.0
1729044966.5535977,342,0.0
1729044985.116446,343,1.0
1729045003.7557898,344,0.0
1729045182.6293902,345,0.0
1729045184.8645244,346,0.0
1729045214.6808481,347,0.0
1729045233.0493264,348,1.0
1729045389.9057872,349,1.0
1729045416.7184756,350,1.0
1729045436.8598273,351,1.0
1729045447.1382756,352,1.0
1729045604.4009793,353,1.0
1729045608.1913426,354,1.0
1729045626.7333186,355,0.0
1729045644.8498368,356,1.0
1729045784.8832595,357,1.0
1729045797.0258012,358,0.0
1729045803.400941,359,1.0
1729045810.9371834,360,1.0
1729045931.5189834,361,0.0
1729045954.9251173,362,1.0
1729045977.0224016,363,1.0
1729045985.892659,364,1.0
1729046094.479646,365,1.0
1729046128.1861746,366,1.0
1729046134.4850373,367,1.0
1729046140.1827579,368,1.0
1729046267.9359372,369,1.0
1729046290.8418686,370,1.0
1729046318.6828752,371,1.0
1729046329.0756817,372,1.0
1729046463.1659021,373,0.0
1729046485.4864652,374,0.0
1729046510.9256709,375,0.0
1729046679.0210414,377,1.0
1729046717.5222445,378,1.0
1729046789.5054066,380,0.0
1729046963.9914148,381,0.0
1729046981.2786036,382,1.0
1729047016.3699746,383,0.0
1729047037.7084503,384,1.0
1729047206.6637526,385,0.0
1729047227.2469015,386,1.0
1729047237.3436134,387,1.0
1729047253.4423342,388,1.0
1729047402.4868555,389,1.0
1729047422.2156444,390,0.0
1729047434.3013105,391,1.0
1729047435.746281,392,1.0
1729047603.321316,394,1.0
1729047685.8584268,396,0.0
1729047839.7683904,397,1.0
1729047868.246171,398,0.0
1729047965.0230632,400,0.0
1729048132.7284079,401,0.0
1729048143.3292003,402,1.0
1729048182.5368288,403,0.0
1729048210.0146425,404,0.0
1729048370.9036574,405,1.0
1729048384.6372073,406,1.0
1729048399.032038,407,1.0
1729048432.4317026,408,1.0
1729048593.495029,409,1.0
1729048615.317441,410,0.0
1729048646.1517959,411,0.0
1729048682.036298,412,0.0
1729048837.3774905,413,0.0
1729048853.8396592,414,0.0
1729048877.1928694,415,0.0
1729048883.177728,416,0.0
1729049057.8056946,417,1.0
1729049074.25667,418,1.0
1729049086.91547,419,1.0
1729049117.005182,420,1.0
1729049274.203056,421,1.0
1729049292.3389587,422,0.0
1729049305.2084715,423,1.0
1729049321.1383145,424,0.0
1729049457.6803904,425,1.0
1729049468.6370502,426,1.0
1729049495.1153758,427,0.0
1729049516.8394125,428,1.0
1729049647.8427694,429,1.0
1729049661.9749193,430,1.0
1729049681.8781235,431,1.0
1729049693.2320535,432,1.0
1729049820.3885944,433,1.0
1729049844.109675,434,1.0
1729049871.8654392,435,1.0
1729049882.582738,436,1.0
1729050007.5209572,437,1.0
1729050023.2857728,438,1.0
1729050042.6374779,439,1.0
1729050055.640796,440,1.0
1729050189.9768345,441,1.0
1729050204.3383644,442,1.0
1729050219.3455667,443,1.0
1729050257.9859033,444,1.0
1729050399.5299904,445,1.0
1729050428.1061895,446,1.0
1729050441.735714,447,1.0
1729050464.752122,448,0.0
1729050610.2539654,449,1.0
1729050643.355744,450,0.0
1729050669.6812673,451,1.0
1729050672.2322783,452,1.0
1729050823.0647805,453,1.0
1729050836.1141257,454,0.0
1729050844.8946562,455,1.0
1729050863.2903492,456,1.0
1729050990.437837,457,1.0
1729051001.2879717,458,0.0
1729051017.2521696,459,1.0
1729051060.2968993,460,1.0
1729051192.8851233,461,1.0
1729051219.7325027,462,0.0
1729051236.5617082,463,0.0
1729051249.1271756,464,1.0
1729051360.590869,465,1.0
1729051388.8072033,466,1.0
1729051414.536062,467,1.0
1729051428.0488777,468,1.0
1729051542.9284322,469,1.0
1729051563.1067722,470,1.0
1729051633.8525045,472,0.0
1729051762.1510239,473,0.0
1729051775.437523,474,0.0
1729051819.6848922,476,1.0
1729051949.0822947,477,1.0
1729051956.3642967,478,1.0
1729051989.726759,479,1.0
1729051992.110303,480,1.0
1729052144.9048054,481,1.0
1729052171.5519557,482,1.0
1729052453.914205,485,1.0
1729052472.8507938,486,0.0
1729052493.7366025,487,1.0
1729052512.3498483,488,1.0
1729052714.0781634,490,1.0
1729052715.6870728,491,1.0
1729052727.8183236,492,0.0
1729052890.928756,493,0.0
1729052903.0102372,494,0.0
1729052916.1357145,495,0.0
1729052917.421712,496,1.0
1729053189.0502634,500,0.0
1729053363.8451803,501,1.0
1729053374.3858838,502,1.0
1729053386.2435315,503,0.0
1729053394.4261622,504,0.0
1729053547.3188932,505,1.0
1729053569.963487,506,1.0
1729053581.5083168,507,1.0
1729053593.2084253,508,1.0
1729053740.4815285,509,0.0
1729053768.3219986,510,0.0
1729053796.646669,511,1.0
1729053832.274691,512,0.0
1729053965.0369637,513,0.0
1729053985.171766,514,1.0
1729053995.0665226,515,1.0
1729054016.2350197,516,0.0
1729054166.853014,517,0.0
1729054189.0524104,518,1.0
1729054215.016577,519,0.0
1729054233.6207051,520,0.0
1729054397.586027,521,0.0
1729054430.333773,522,0.0
1729054451.703894,523,0.0
1729054453.3660033,524,1.0
1729054605.9689944,525,0.0
1729054857.8335268,529,1.0
1729054874.721811,530,0.0
1729054900.8570185,531,1.0
1729055119.7268956,533,1.0
1729055154.3918538,534,0.0
1729055165.1925502,535,1.0
1729055192.1295438,536,1.0
1729055334.7232094,537,1.0
1729055377.1705823,538,1.0
1729055385.4309473,539,0.0
1729055406.322106,540,1.0
1729055568.369542,541,1.0
1729055588.70585,542,0.0
1729055643.9293065,544,1.0
1729055796.8908455,545,1.0
1729055804.7418613,546,1.0
1729055814.6693413,547,1.0
1729055931.809855,548,1.0
1729056194.374497,549,0.0
1729056196.068565,550,1.0
1729056247.319367,551,1.0
1729056338.9426157,552,0.0
1729056599.8775432,553,1.0
1729056607.5050592,554,1.0
1729056623.6495607,555,1.0
1729056628.3886106,556,1.0
1729056773.9131656,557,1.0
1729056808.2160854,558,0.0
1729056823.9423552,559,1.0
1729056831.357205,560,1.0
1729057179.9881523,561,1.0
1729057201.1192405,562,1.0
1729057216.4380393,563,1.0
1729057228.1145146,564,0.0
1729057554.1471212,565,1.0
1729057580.317242,566,1.0
1729057595.0348437,567,0.0
1729057607.8909214,568,1.0
1729057721.1119883,569,1.0
1729057755.3321624,570,1.0
1729057770.2122216,571,1.0
1729057780.4011676,572,0.0
1729057993.3434067,573,1.0
1729058100.4549155,574,1.0
1729058155.3035636,575,1.0
1729058175.1361268,576,1.0
1729058537.7365258,577,0.0
1729058581.996764,578,1.0
1729058609.689688,579,1.0
1729058635.0304184,580,1.0
1729058804.1047726,582,1.0
1729058876.0142782,584,1.0
1729059178.7968302,585,1.0
1729059194.1408563,586,1.0
1729059209.0393224,587,1.0
1729059214.54679,588,0.0
1729059587.1705537,589,0.0
1729059598.8733091,590,0.0
1729059626.9745653,591,0.0
1729059650.401308,592,1.0
1729059792.344234,593,1.0
1729059823.6897087,594,0.0
1729059825.4848042,595,0.0
1729059843.6506832,596,1.0
1729060284.3302467,598,1.0
1729060301.046779,599,1.0
1729060318.3557036,600,0.0
1729060656.2676964,601,0.0
1729060701.0851488,603,0.0
1729060746.3580904,604,0.0
1729060897.4061713,605,1.0
1729060924.3841717,606,0.0
1729060949.3658926,607,0.0
1729060981.6265812,608,0.0
1729061136.9780576,609,1.0
1729061142.663666,610,1.0
1729061167.8959615,611,0.0
1729061179.8774307,612,0.0
1729061324.7970169,613,0.0
1729061338.2610095,614,0.0
1729061353.8407412,615,1.0
1729061554.5981336,617,1.0
1729061583.5753858,618,1.0
1729061593.5192146,619,1.0
1729061610.1686752,620,1.0
1729061746.1331432,621,1.0
1729061772.9161055,622,1.0
1729061827.6131406,624,1.0
1729061976.2270515,625,1.0
1729061986.4904475,626,1.0
1729062000.855875,627,1.0
1729062004.4526734,628,1.0
1729062193.4598784,631,1.0
1729062215.0079222,632,1.0
1729062334.3324084,633,1.0
1729062346.5929918,634,1.0
1729062354.5881755,635,1.0
1729062378.9800768,636,1.0
1729062578.4268208,638,1.0
1729062622.0429747,639,1.0
1729062645.4071405,640,1.0
1729062788.4288833,641,1.0
1729062826.7825453,642,1.0
1729062840.3484292,643,1.0
1729063099.2137208,646,0.0
1729063114.580752,647,0.0
1729063307.1663284,649,0.0
1729063312.5963323,650,0.0
1729063323.6404295,651,0.0
1729063501.3878205,653,0.0
1729063511.1071942,654,1.0
1729063529.961558,655,1.0
1729063539.9399981,656,1.0
1729063675.6959374,657,1.0
1729063758.873282,659,1.0
1729063761.1585412,660,1.0
1729063917.2639148,661,1.0
1729063942.2263706,662,0.0
1729063993.5062704,664,0.0
1729064152.113845,665,0.0
1729064170.8464255,666,0.0
1729064188.6144512,667,0.0
1729064445.012646,670,1.0
1729064448.1171887,671,1.0
1729064478.9407945,672,0.0
1729064655.662542,673,1.0
1729064677.5603776,674,0.0
1729064684.8847399,675,1.0
1729064711.63165,676,1.0
1729064888.0988758,677,0.0
1729064919.1444614,678,1.0
1729064922.3327372,679,1.0
1729064929.6819453,680,0.0
1729065099.029798,681,0.0
1729065103.1170135,682,1.0
1729065118.5203815,683,0.0
1729065154.737759,684,0.0
1729065305.892826,685,1.0
1729065323.8553665,686,1.0
1729065344.5045269,687,0.0
1729065369.280283,688,0.0
1729065546.403637,689,1.0
1729065609.1762688,691,0.0
1729065628.5530846,692,0.0
1729065837.3089168,694,0.0
1729065841.1751547,695,1.0
1729066080.302238,697,0.0
1729066102.7534478,698,1.0
1729066104.0534072,699,1.0
1729066131.6375284,700,0.0
1729066301.6991503,701,1.0
1729066312.460768,702,1.0
1729066333.1451097,703,1.0
1729066344.5235426,704,0.0
1729066517.0040767,705,1.0
1729066546.2086134,706,0.0
1729066566.2775233,707,0.0
1729066574.034047,708,0.0
1729066720.3006668,709,0.0
1729066746.0501285,710,0.0
1729066761.6817806,711,1.0
1729066781.3409998,712,0.0
1729066907.9450598,713,1.0
1729066935.3691921,714,1.0
1729066969.5032578,715,0.0
1729066995.1400306,716,0.0
1729067110.1845698,717,1.0
1729067141.4512336,718,1.0
1729067447.4096248,722,1.0
1729067450.3781297,723,1.0
1729067463.5185814,724,1.0
1729067622.003798,725,1.0
1729067718.7026842,728,1.0
1729067882.8506234,729,1.0
1729067891.3977458,730,0.0
1729067911.7013338,731,0.0
1729067919.1627815,732,1.0
1729068106.3880515,734,0.0
1729068121.0830061,735,1.0
1729068128.511443,736,1.0
1729068269.0304956,737,1.0
1729068272.0398793,738,1.0
1729068292.8987248,739,1.0
1729068330.0765502,740,0.0
1729068453.5350084,741,1.0
1729068459.2080004,742,1.0
1729068524.9457018,744,1.0
1729068653.4661798,745,0.0
1729068664.433745,746,0.0
1729068679.137183,747,0.0
1729068725.4920123,748,0.0
1729068863.5054889,749,1.0
1729068882.9318388,750,1.0
1729068886.1076775,751,0.0
1729068926.0563967,752,0.0
1729069039.6261013,753,1.0
1729069058.905661,754,1.0
1729069088.1787417,755,1.0
1729069104.455349,756,1.0
1729069217.87743,757,1.0
1729069234.4085305,758,0.0
1729069244.7779434,759,1.0
1729069246.1912115,760,1.0
1729069344.6213703,761,1.0
1729069634.211631,765,1.0
1729069643.0225377,766,0.0
1729069662.1923237,767,1.0
1729069663.950725,768,1.0
1729069796.803123,769,1.0
1729069819.4034076,770,1.0
1729069822.0676184,771,1.0
1729069830.2835836,772,1.0
1729069954.102834,773,1.0
1729069983.7903237,774,1.0
1729070021.2596853,775,1.0
1729070029.9609652,776,1.0
1729070195.581793,777,1.0
1729070212.988443,778,1.0
1729070238.713033,779,1.0
1729070525.7925043,783,0.0
1729070777.4349213,785,1.0
1729070799.593922,786,1.0
1729070809.2492986,787,0.0
1729071040.099301,789,1.0
1729071048.6500065,790,1.0
1729071131.8893194,792,1.0
1729071371.3997347,794,1.0
1729071383.0805364,795,0.0
1729071405.550532,796,1.0
1729071636.5131695,798,1.0
1729071642.5817516,799,0.0
1729071651.4848337,800,1.0
1729071816.6014922,801,1.0
1729071828.2635837,802,0.0
1729071847.422361,803,0.0
1729071850.6892226,804,1.0
1729071984.9843092,805,0.0
1729072011.0182228,806,1.0
1729072272.177669,809,0.0
1729072282.4070988,810,1.0
1729072612.6322381,814,1.0
1729072634.1868005,815,1.0
1729072879.4495015,817,1.0
1729073211.0981452,821,1.0
1729073217.476811,822,1.0
1729073232.0210693,823,1.0
1729073244.798108,824,1.0
1729073422.084254,825,1.0
1729073483.8978946,827,0.0
1729073693.287318,829,0.0
1729073700.243106,830,1.0
1729073704.7267606,831,1.0
1729073721.685963,832,1.0
1729073932.0351021,834,1.0
1729073993.9592466,836,0.0
1729074187.0462165,837,1.0
1729074269.7737572,839,1.0
1729074512.214174,841,0.0
1729074517.690438,842,0.0
1729074530.9624338,843,0.0
1729074753.3778906,845,1.0
1729074779.2755077,846,0.0
1729074802.3970537,847,0.0
1729075065.4550748,849,1.0
1729075070.8115685,850,1.0
1729075267.6830356,853,1.0
1729075344.6880543,855,1.0
1729075368.1861088,856,1.0
1729075536.6842575,857,0.0
